Year,Winner,Runner_Up,Winner_Goals,Runner_Up_Goals,Decided_By,Winner_Style,Runner_Up_Style,Winner_Nation,Runner_Up_Nation,Total_Goals
1993,Marseille,AC Milan,1,0,Normal Time,Defensive,Defensive,France,Italy,1
1994,AC Milan,Barcelona,4,0,Normal Time,Defensive,Attacking,Italy,Spain,4
1995,Ajax,AC Milan,1,0,Normal Time,Attacking,Defensive,Netherlands,Italy,1
1996,Juventus,Ajax,1,1,Penalties,Defensive,Attacking,Italy,Netherlands,2
1997,Borussia Dortmund,Juventus,3,1,Normal Time,Attacking,Defensive,Germany,Italy,4
1998,Real Madrid,Juventus,1,0,Normal Time,Attacking,Defensive,Spain,Italy,1
1999,Manchester United,Bayern Munich,2,1,Normal Time,Attacking,Defensive,England,Germany,3
2000,Real Madrid,Valencia,3,0,Normal Time,Attacking,Defensive,Spain,Spain,3
2001,Bayern Munich,Valencia,1,1,Penalties,Defensive,Defensive,Germany,Spain,2
2002,Real Madrid,Bayer Leverkusen,2,1,Normal Time,Attacking,Attacking,Spain,Germany,3
2003,AC Milan,Juventus,0,0,Penalties,Defensive,Defensive,Italy,Italy,0
2004,Porto,Monaco,3,0,Normal Time,Defensive,Attacking,Portugal,France,3
2005,Liverpool,AC Milan,3,3,Penalties,Attacking,Attacking,England,Italy,6
2006,Barcelona,Arsenal,2,1,Normal Time,Attacking,Defensive,Spain,England,3
2007,AC Milan,Liverpool,2,1,Normal Time,Defensive,Attacking,Italy,England,3
2008,Manchester United,Chelsea,1,1,Penalties,Attacking,Defensive,England,England,2
2009,Barcelona,Manchester United,2,0,Normal Time,Attacking,Attacking,Spain,England,2
2010,Inter Milan,Bayern Munich,2,0,Normal Time,Defensive,Attacking,Italy,Germany,2
2011,Barcelona,Manchester United,3,1,Normal Time,Attacking,Attacking,Spain,England,4
2012,Chelsea,Bayern Munich,1,1,Penalties,Defensive,Attacking,England,Germany,2
2013,Bayern Munich,Borussia Dortmund,2,1,Normal Time,Attacking,Attacking,Germany,Germany,3
2014,Real Madrid,Atletico Madrid,4,1,Extra Time,Attacking,Defensive,Spain,Spain,5
2015,Barcelona,Juventus,3,1,Normal Time,Attacking,Defensive,Spain,Italy,4
2016,Real Madrid,Atletico Madrid,1,1,Penalties,Attacking,Defensive,Spain,Spain,2
2017,Real Madrid,Juventus,4,1,Normal Time,Attacking,Defensive,Spain,Italy,5
2018,Real Madrid,Liverpool,3,1,Normal Time,Attacking,Attacking,Spain,England,4
2019,Liverpool,Tottenham,2,0,Normal Time,Attacking,Attacking,England,England,2
2020,Bayern Munich,PSG,1,0,Normal Time,Attacking,Attacking,Germany,France,1
2021,Chelsea,Manchester City,1,0,Normal Time,Defensive,Attacking,England,England,1
2022,Real Madrid,Liverpool,1,0,Normal Time,Attacking,Attacking,Spain,England,1
2023,Manchester City,Inter Milan,1,0,Normal Time,Attacking,Defensive,England,Italy,1
2024,Real Madrid,Borussia Dortmund,2,0,Normal Time,Attacking,Attacking,Spain,Germany,2
2025,PSG,Inter Milan,5,0,Normal Time,Attacking,Defensive,France,Italy,5
